Id,Game,Link
227326,Battlefield™ V,https://store.playstation.com/en-id/concept/227326
10003839,Hokko Life,https://store.playstation.com/en-id/concept/10003839
10002042,Saints Row,https://store.playstation.com/en-id/concept/10002042
10001366,Cooking Simulator,https://store.playstation.com/en-id/concept/10001366
10002577,Jurassic World Evolution 2,https://store.playstation.com/en-id/concept/10002577
10002190,Capcom Arcade Stadium,https://store.playstation.com/en-id/concept/10002190
10004071,Voice of Cards: The Beasts of Burden,https://store.playstation.com/en-id/concept/10004071
200472,BATMAN™: ARKHAM KNIGHT,https://store.playstation.com/en-id/concept/200472
204219,STAR OCEAN: Integrity and Faithlessness,https://store.playstation.com/en-id/concept/204219
228448,SONIC FORCES,https://store.playstation.com/en-id/concept/228448
229788,L.A. Noire,https://store.playstation.com/en-id/concept/229788
10000663,POLICE SIMULATOR: PATROL OFFICERS,https://store.playstation.com/en-id/concept/10000663
235338,Ride 4,https://store.playstation.com/en-id/concept/235338
201597,FINAL FANTASY XV,https://store.playstation.com/en-id/concept/201597
216759,WATCH_DOGS® 2,https://store.playstation.com/en-id/concept/216759
228861,The Evil Within® 2,https://store.playstation.com/en-id/concept/228861
202013,HELLDIVERS™,https://store.playstation.com/en-id/concept/202013
232883,Subnautica,https://store.playstation.com/en-id/concept/232883
10003002,GRID Legends,https://store.playstation.com/en-id/concept/10003002
10004336,EA SPORTS™ FIFA 23,https://store.playstation.com/en-id/concept/10004336
10000846,Forspoken,https://store.playstation.com/en-id/concept/10000846
234689,It Takes Two  PS4™ & PS5™,https://store.playstation.com/en-id/concept/234689
205354,UNCHARTED: Legacy of Thieves Collection,https://store.playstation.com/en-id/concept/205354
10002985,Train Life: A Railway Simulator,https://store.playstation.com/en-id/concept/10002985
208810,KINGDOM HEARTS Ⅲ,https://store.playstation.com/en-id/concept/208810
201129,Dying Light,https://store.playstation.com/en-id/concept/201129
10002813,Just Dance 2022,https://store.playstation.com/en-id/concept/10002813
228209,FINAL FANTASY Ⅻ THE ZODIAC AGE,https://store.playstation.com/en-id/concept/228209
233392,MOBILE SUIT GUNDAM EXTREME VS. MAXIBOOST ON,https://store.playstation.com/en-id/concept/233392
235302,Mafia: Definitive Edition,https://store.playstation.com/en-id/concept/235302
10001130,Call of Duty®: Modern Warfare® II,https://store.playstation.com/en-id/concept/10001130
10004836,NBA 2K23,https://store.playstation.com/en-id/concept/10004836
10002427,eFootball™ 2023,https://store.playstation.com/en-id/concept/10002427
10000896,Genshin Impact,https://store.playstation.com/en-id/concept/10000896
216932,Brawlhalla,https://store.playstation.com/en-id/concept/216932
218800,WARRIORS OROCHI 4 Ultimate,https://store.playstation.com/en-id/concept/218800
10000333,ELDEN RING,https://store.playstation.com/en-id/concept/10000333
232860,PUBG: BATTLEGROUNDS,https://store.playstation.com/en-id/concept/232860
212581,World of Tanks,https://store.playstation.com/en-id/concept/212581
10001114,Stray,https://store.playstation.com/en-id/concept/10001114
231121,Overcooked 2,https://store.playstation.com/en-id/concept/231121
10001369,Cuphead,https://store.playstation.com/en-id/concept/10001369
216678,NOBUNAGA'S AMBITION: SPHERE OF INFLUENCE - ASCENSION,https://store.playstation.com/en-id/concept/216678
227478,Borderlands 3,https://store.playstation.com/en-id/concept/227478
230079,The Last of Us™ Part II,https://store.playstation.com/en-id/concept/230079
228785,Monster Hunter: World,https://store.playstation.com/en-id/concept/228785
221941,Call of Duty®: Modern Warfare® Remastered,https://store.playstation.com/en-id/concept/221941
217012,DRAGON BALL XENOVERSE 2,https://store.playstation.com/en-id/concept/217012
10001850,God of War Ragnarök,https://store.playstation.com/en-id/concept/10001850
201930,Grand Theft Auto V (PlayStation®5),https://store.playstation.com/en-id/concept/201930
233383,Gotham Knights,https://store.playstation.com/en-id/concept/233383
228748,Fortnite,https://store.playstation.com/en-id/concept/228748
10000956,Gran Turismo® 7,https://store.playstation.com/en-id/concept/10000956
10003285,PGA TOUR 2K23,https://store.playstation.com/en-id/concept/10003285
227319,Dead by Daylight,https://store.playstation.com/en-id/concept/227319
10003868,Destroy All Humans! 2 - Reprobed,https://store.playstation.com/en-id/concept/10003868
232898,Sekiro™: Shadows Die Twice,https://store.playstation.com/en-id/concept/232898
200763,Call of Duty®: Black Ops III,https://store.playstation.com/en-id/concept/200763
10002044,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom(incl.Indonesian),https://store.playstation.com/en-id/concept/10002044
231037,A Plague Tale: Innocence,https://store.playstation.com/en-id/concept/231037
